url_aviso,barrio,precio_detalle,estado_scraping
https://www.fincaraiz.com.co/casa-en-venta-en-centro-pereira/193625544,"Remigio antonio canarte, Risaralda",$ 360.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194091722,"Cerritos, Risaralda",$ 340.000.000,ok
https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/194159983,"Cerritos, Risaralda",$ 671.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-condina-pereira/191699901,"Ciudadela salamanca, Risaralda",$ 1.250.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-sector-30-de-agosto-pereira/193927023,"Buenos aires, Risaralda",$ 340.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/192196170,"Cerritos, Risaralda",$ 4.500.000.000,ok
https://www.fincaraiz.com.co/finca-en-venta-en-combia-baja-pereira/193077242,"Combia baja, Risaralda",$ 500.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/192282499,"Morelia, Risaralda",$ 270.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-tribunas-corcega-pereira/192436675,"Tribunas corcega, Risaralda",$ 450.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-i-etapa-pereira/194183554,"El dorado, Risaralda",$ 233.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-la-florida-pereira/193637182,"La florida, Risaralda",$ 500.000.000,ok
https://www.fincaraiz.com.co/finca-en-venta-en-la-florida-pereira/192386571,"La florida, Risaralda",$ 800.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/194230991,"El terminal, Risaralda",$ 250.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-centro-pereira/193312563,"Sector plaza de bolivar, Risaralda",$ 790.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-circunvalar-alamos-pereira/193301853,"Urbanizacion las colinas, Risaralda",$ 380.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194227543,"Cerritos, Risaralda",$ 980.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-la-villa-pereira/193724948,"La villa, Risaralda",$ 480.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-pinares-pereira/193810874,"Pinares, Risaralda",$ 985.000.000,ok
https://www.fincaraiz.com.co/finca-en-venta-en-pereira/193137168,"La bella, Risaralda",$ 1.200.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-cuba-pereira/192321419,"Aeropuerto, Risaralda",$ 290.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-pueblito-cafetero-pereira/193307510,"Pueblito Cafetero, Risaralda",$ 830.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193755361,"Cambulos, Risaralda",$ 500.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-belmonte-a-pereira/193304132,"Belmonte a, Risaralda",$ 600.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/193314224,"Galicia, Risaralda",$ 700.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/192400315,"Cerritos, Risaralda",$ 1.800.000.000,ok
https://www.fincaraiz.com.co/lote-en-venta-en-combia-pereira/193841287,"Combia, Risaralda",$ 277.650.000,ok
https://www.fincaraiz.com.co/apartaestudio-en-venta-en-pinares-pereira/193120183,"Pinares, Risaralda",$ 400.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193081957,,,error_http_404
https://www.fincaraiz.com.co/casa-en-venta-en-galicia-pereira/193815446,"Galicia, Risaralda",$ 450.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193127062,"Morelia, Risaralda",$ 600.000.000,ok
https://www.fincaraiz.com.co/oficina-en-venta-en-los-alpes-pereira/192169105,"San jose sur, Risaralda",$ 320.000.000,ok
https://www.fincaraiz.com.co/apartaestudio-en-venta-en-cerritos-pereira/193399381,"Cerritos, Risaralda",$ 625.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/193239447,"Combia, Risaralda",$ 1.100.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193312988,"Ciudadela del cafe sector c, Risaralda",$ 160.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193065123,"Pinares, Risaralda",$ 390.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-el-jardin-pereira/192752738,"El dorado, Risaralda",$ 395.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-maraya-pereira/8215281,"Maraya, Risaralda",$ 1.800.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-30-de-agosto-pereira/193567711,"Buenos aires, Risaralda",$ 370.000.000,ok
https://www.fincaraiz.com.co/lote-en-venta-en-condina-pereira/191467093,"Condina, Risaralda",$ 450.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-corocito-pereira/192320917,"Corocito, Risaralda",$ 450.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/193035142,"Condina, Risaralda",$ 280.000.000,ok
https://www.fincaraiz.com.co/local-en-venta-en-circunvalar-alamos-pereira/193310976,"San jose sur, Risaralda",$ 1.000.000.000,ok
https://www.fincaraiz.com.co/lote-en-venta-en-condina-pereira/192884366,"Condina, Risaralda",$ 315.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-popular-modelo-pereira/193352868,"La enseñanza, Risaralda",$ 600.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/193645838,"Condina, Risaralda",$ 350.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-bosques-de-santa-elena-pereira/8031613,"El dorado, Risaralda",$ 430.000.000,ok
https://www.fincaraiz.com.co/casa-lote-en-venta-en-condina-pereira/10680535,"Condina, Risaralda",$ 1.650.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/7665857,"Batara, Risaralda",$ 310.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/191847362,"Cerritos, Risaralda",$ 630.000.000,ok
https://www.fincaraiz.com.co/bodega-en-venta-en-dosquebradas/7177322,"Santander, Risaralda",$ 1.440.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193308051,"La pradera, Risaralda",$ 700.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-tribunas-corcega-pereira/193212486,"Tribunas corcega, Risaralda",$ 1.600.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-morelia-pereira/192477322,"Morelia, Risaralda",$ 1.500.000.000,ok
https://www.fincaraiz.com.co/local-en-venta-en-centro-pereira/193841842,"Sector plaza de bolivar, Risaralda",$ 2.500.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/10626546,"Cerritos, Risaralda",$ 2.600.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-circunvalar-alamos-pereira/193675935,"Los angeles, Risaralda",$ 500.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-armenia/192386796,"Hacienda cuba, Risaralda",$ 180.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-condina-pereira/192625475,"Condina, Risaralda",$ 1.300.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/194009108,"Condina, Risaralda",$ 290.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-30-de-agosto-pereira/194187702,"Avenida 30 de agosto, Risaralda",$ 790.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/193189542,"Galicia, Risaralda",$ 540.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-corocito-pereira/192320422,"Corocito, Risaralda",$ 320.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-sector-plaza-de-bolivar-pereira/7665829,"Santa teresita, Risaralda",$ 680.000.000,ok
https://www.fincaraiz.com.co/apartaestudio-en-venta-en-cerritos-pereira/192737695,"Cerritos, Risaralda",$ 490.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-ii-etapa-pereira/193968740,"El poblado ii etapa, Risaralda",$ 230.000.000,ok
https://www.fincaraiz.com.co/apartaestudio-en-venta-en-cerritos-pereira/192462616,"Cerritos, Risaralda",$ 590.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/191307103,"Pinares, Risaralda",$ 2.800.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alpes-pereira/193939521,"San jose sur, Risaralda",$ 285.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-30-de-agosto-del-cafe-pereira/193826683,"Conjunto residencial tisu, Risaralda",$ 400.000.000,ok
https://www.fincaraiz.com.co/lote-en-venta-en-combia-alta-pereira/193358936,"Combia  alta, Risaralda",$ 240.000.000,ok
