precio_texto,tipo_y_ciudad,titulo,habitaciones_texto,banos_texto,area_texto,url_aviso,pagina
$ 1.800.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,4 Habs.,5 Baños,576 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/193909268,5
$ 670.000.000,"Bodega en Pereira, Risaralda","Bodega en venta en villavicencio, pereira",2 Baños,318 m²,,https://www.fincaraiz.com.co/bodega-en-venta-en-villavicencio-pereira/192781436,5
$ 365.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,2 Baños,60 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194003597,5
$ 375.000.000,"Lote en Pereira, Risaralda","Lote en venta en condina, pereira",1 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-condina-pereira/192701894,5
$ 1.140.360.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",2924 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/192747273,5
$ 1.500.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en morelia, pereira",5 Habs.,3 Baños,290 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-morelia-pereira/194123065,5
$ 1.800.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en combia, pereira",4 Habs.,5 Baños,4777 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/194246915,5
Desde $ 473.324.399,"Apartamento en Pereira, Risaralda","Senderos de cerritos, apartamento en venta en galicia, pereira",3 Habs.,2 Baños,62 m²,https://www.fincaraiz.com.co/proyectos-vivienda/senderos-de-cerritos-apartamentos-en-venta-en-galicia-pereira/15018000,5
$ 900.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,3 Baños,130 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194068774,5
$ 2.900.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en combia, pereira",5 Habs.,5 Baños,500 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/194081159,5
