precio_texto,tipo_y_ciudad,titulo,habitaciones_texto,banos_texto,area_texto,url_aviso
$ 395.000.000,"Casa en Pereira, Risaralda",Casa en venta en san luis,4 Habs.,2 Baños,136 m²,https://www.fincaraiz.com.co/casa-en-venta-en-san-luis/194019728
$ 260.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en aeropuerto, pereira",2 Habs.,2 Baños,49 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-aeropuerto-pereira/194077836
$ 750.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",3 Habs.,3 Baños,150 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/4150306
$ 550.000.000,"Casa en Pereira, Risaralda","Casa en venta en venecia, pereira",3 Habs.,2 Baños,161 m²,https://www.fincaraiz.com.co/casa-en-venta-en-venecia-pereira/193493420
$ 330.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en la villa, pereira",0 Hab,2 Baños,53 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-la-villa-pereira/193311311
$ 2.350.000.000,"Casa en Pereira, Risaralda","Casa en  venta en cerritos, pereira",4 Habs.,5 Baños,500 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/192169419
$ 490.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",3 Habs.,2 Baños,85 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/193303663
$ 1.400.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en morelia, pereira",5 Habs.,5 Baños,2100 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-morelia-pereira/193836685
$ 1.490.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",3 Habs.,5 Baños,400 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/192701823
$ 1.600.000.000,"Edificio en Pereira, Risaralda","Edificio en venta en los corales, pereira",7 Habs.,4 Baños,360 m²,https://www.fincaraiz.com.co/edificio-en-venta-en-los-corales-pereira/193302592
$ 350.000.000,"Casa en Pereira, Risaralda","Casa en venta en centro, pereira",5 Habs.,2 Baños,60 m²,https://www.fincaraiz.com.co/casa-en-venta-en-centro-pereira/192321087
$ 280.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en galicia, pereira",2 Habs.,1 Baño,65 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/193309004
$ 1.260.000.000,"Finca en Pereira, Risaralda","Finca en venta en risaralda, pereira",4 Habs.,2 Baños,12800 m²,https://www.fincaraiz.com.co/finca-en-venta-en-risaralda-pereira/192455029
$ 700.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,3 Habs.,3 Baños,150 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193310995
$ 800.000.000,"Casa en Pereira, Risaralda","Casa en venta en centro, pereira",8 Habs.,8 Baños,220 m²,https://www.fincaraiz.com.co/casa-en-venta-en-centro-pereira/192321389
$ 2.500.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",4 Habs.,6 Baños,472 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193302729
$ 500.000.000,"Casa en Pereira, Risaralda","Casa en venta en la bella, pereira",4 Habs.,2 Baños,140 m²,https://www.fincaraiz.com.co/casa-en-venta-en-la-bella-pereira/192580252
$ 330.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en centro, pereira",4 Habs.,3 Baños,135 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-centro-pereira/193840502
$ 490.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en sector belmonte, pereira",3 Habs.,2 Baños,78 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-sector-belmonte-pereira/192888202
$ 220.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en coodelmar iv etapa, pereira",3 Habs.,1 Baño,72 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-coodelmar-iv-etapa-pereira/193463734
$ 390.000.000,"Finca en Pereira, Risaralda",Finca en venta en pereira,5 Habs.,2 Baños,200 m²,https://www.fincaraiz.com.co/finca-en-venta-en-pereira/193151349
$ 975.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en circunvalar - alamos, pereira",4 Habs.,3 Baños,186 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-circunvalar-alamos-pereira/193958997
$ 850.000.000,"Casa en Pereira, Risaralda",Casa en  venta en pereira,4 Habs.,4 Baños,200 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/192171684
$ 763.640.000,"Lote en Pereira, Risaralda","Lote en  venta en cerritos, pereira",11052 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/192128405
$ 550.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",2000 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193313727
$ 240.000.000,"Oficina en Pereira, Risaralda","Oficina en venta en pinares, pereira",1 Baño,24 m²,,https://www.fincaraiz.com.co/oficina-en-venta-en-pinares-pereira/193558228
$ 320.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,2 Baños,77 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193310514
$ 3.000.000.000,"Lote en Pereira, Risaralda","Lote en venta en combia, pereira",11820 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-combia-pereira/192706381
$ 640.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,2 Baños,95 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193084975
$ 350.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en el poblado ii etapa, pereira",3 Habs.,2 Baños,64 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-ii-etapa-pereira/193274581
$ 3.900.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",13 Habs.,10 Baños,1150 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/194119988
$ 650.000.000,"Finca en Pereira, Risaralda","Finca en venta en combia, pereira",2 Habs.,2 Baños,1400 m²,https://www.fincaraiz.com.co/finca-en-venta-en-combia-pereira/192320441
$ 360.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en maraya, pereira",3 Habs.,2 Baños,89 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-maraya-pereira/193134968
$ 330.000.000,"Apartamento en Pereira, Risaralda",Apartamento en  venta en pereira,3 Habs.,2 Baños,110 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/191447051
$ 2.900.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en pueblito cafetero, pereira",7 Habs.,10 Baños,1050 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pueblito-cafetero-pereira/193625027
$ 1.500.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",4 Habs.,5 Baños,320 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193462484
$ 380.000.000,"Lote en Pereira, Risaralda",Lote en venta en pereira,1100 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-pereira/193310651
$ 1.300.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,5 Baños,170 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194059889
$ 1.950.000.000,"Casa en Pereira, Risaralda","Casa en venta en tribunas corcega, pereira",7 Habs.,5 Baños,400 m²,https://www.fincaraiz.com.co/casa-en-venta-en-tribunas-corcega-pereira/192767221
$ 3.300.000.000,"Edificio en Pereira, Risaralda",Edificio en venta en pereira,10 Habs.,9 Baños,672 m²,https://www.fincaraiz.com.co/edificio-en-venta-en-pereira/193841833
$ 380.000.000,"Casa en Pereira, Risaralda","Casa en venta en galicia, pereira",3 Habs.,3 Baños,72 m²,https://www.fincaraiz.com.co/casa-en-venta-en-galicia-pereira/193955289
$ 270.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en bosques de la acuarela, pereira",3 Habs.,2 Baños,95 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-bosques-de-la-acuarela-pereira/193304376
$ 380.000.000,"Oficina en Pereira, Risaralda","Oficina en venta en centro, pereira",2 Ambientes,1 Baño,55 m²,https://www.fincaraiz.com.co/oficina-en-venta-en-centro-pereira/193068896
$ 1.200.000.000,"Casa en Pereira, Risaralda","Casa en venta en pinares, pereira",4 Habs.,5 Baños,290 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pinares-pereira/193119960
$ 350.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,2 Baños,56 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/193462621
$ 85.000.000,"Lote en Pereira, Risaralda","Lote en venta en morelia, pereira",250 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-morelia-pereira/193697030
$ 135.000.000,"Casa en Pereira, Risaralda","Casa en venta en villa santana, pereira",2 Habs.,1 Baño,42 m²,https://www.fincaraiz.com.co/casa-en-venta-en-villa-santana-pereira/193696563
$ 700.000.000,"Casa en Pereira, Risaralda","Casa en venta en los alamos, pereira",0 Hab,267 m²,,https://www.fincaraiz.com.co/casa-en-venta-en-los-alamos-pereira/193360932
$ 3.100.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",3 Habs.,5 Baños,2000 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193941819
$ 1.500.000.000,"Finca en Pereira, Risaralda","Finca en venta en morelia, pereira",4 Habs.,3 Baños,380 m²,https://www.fincaraiz.com.co/finca-en-venta-en-morelia-pereira/193308948
$ 3.800.000.000,"Finca en Pereira, Risaralda",Finca en venta en pereira,0 Hab,1 m²,,https://www.fincaraiz.com.co/finca-en-venta-en-pereira/193363225
$ 1.550.000.000,"Casa en Pereira, Risaralda","Casa en venta en los alamos, pereira",5 Habs.,4 Baños,310 m²,https://www.fincaraiz.com.co/casa-en-venta-en-los-alamos-pereira/192945636
$ 2.000.000.000,"Casa en Pereira, Risaralda","Casa en venta en cerritos, pereira",6 Habs.,5 Baños,500 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/193336615
$ 450.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en sector galeria central, pereira",2 Habs.,2 Baños,66 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-sector-galeria-central-pereira/192623928
$ 285.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en belmonte a, pereira",3 Habs.,2 Baños,85 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-belmonte-a-pereira/192531109
$ 1.110.120.000,"Local Comercial en Pereira, Risaralda","Local en venta en cerritos, pereira",100 m²,,,https://www.fincaraiz.com.co/local-en-venta-en-cerritos-pereira/194238290
$ 1.150.000.000,"Casa en Pereira, Risaralda","Casa en venta en pinares, pereira",4 Habs.,4 Baños,225 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pinares-pereira/193588750
$ 245.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en centenario, pereira",2 Habs.,2 Baños,84 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-centenario-pereira/193631109
$ 1.380.000.000,"Casa en Pereira, Risaralda","Casa en venta en cerritos, pereira",3 Habs.,4 Baños,210 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/194058625
$ 450.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,2 Habs.,2 Baños,62 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193958927
$ 3.738.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,4 Baños,356 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/192936450
$ 520.000.000,"Casa en Pereira, Risaralda","Casa en venta en cuba, pereira",6 Habs.,3 Baños,190 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cuba-pereira/193841805
$ 1.500.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en condina, pereira",4 Habs.,4 Baños,284 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-condina-pereira/193817488
$ 3.200.000.000,"Finca en Pereira, Risaralda","Finca en venta en combia, pereira",7 Habs.,8 Baños,590 m²,https://www.fincaraiz.com.co/finca-en-venta-en-combia-pereira/193309071
$ 450.000.000,"Lote en Pereira, Risaralda","Lote en venta en puerta de alcala, pereira",1800 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-puerta-de-alcala-pereira/193845004
$ 1.100.000.000,"Finca en Pereira, Risaralda","Finca en venta en combia, pereira",3 Habs.,2 Baños,300 m²,https://www.fincaraiz.com.co/finca-en-venta-en-combia-pereira/192319781
$ 200.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,2 Habs.,1 Baño,90 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193311364
$ 455.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en circunvalar - alamos, pereira",2 Habs.,2 Baños,68 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-circunvalar-alamos-pereira/193190411
$ 2.800.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,4 Habs.,3 Baños,320 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/194207231
$ 1.800.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en morelia, pereira",5 Habs.,4 Baños,310 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-morelia-pereira/192642862
$ 330.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en sector belmonte, pereira",2 Habs.,2 Baños,69 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-sector-belmonte-pereira/193815181
$ 600.000.000,"Casa en Pereira, Risaralda","Casa en venta en centenario, pereira",5 Habs.,2 Baños,126 m²,https://www.fincaraiz.com.co/casa-en-venta-en-centenario-pereira/193687500
$ 650.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,2 Baños,114 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/192797592
$ 350.000.000,"Apartaestudio en Pereira, Risaralda","Apartaestudio en venta en cerritos, pereira",1 Hab,1 Baño,42 m²,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-cerritos-pereira/193748972
$ 440.000.000,"Casa en Pereira, Risaralda","Casa en  venta en bavaria, pereira",4 Habs.,3 Baños,204 m²,https://www.fincaraiz.com.co/casa-en-venta-en-bavaria-pereira/192043768
$ 520.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",3 Habs.,2 Baños,72 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/192540706
$ 580.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,4 Habs.,2 Baños,192 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/192904622
$ 620.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,2 Baños,85 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193840404
$ 240.000.000,"Apartamento en Pereira, Risaralda","Apartamento en  venta en el poblado ii etapa, pereira",2 Habs.,1 Baño,45 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-ii-etapa-pereira/192085811
$ 2.500.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,3 Habs.,4 Baños,367 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193437795
$ 4.900.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,5 Habs.,5 Baños,1161 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/193055686
$ 270.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,2 Baños,59 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/194034129
$ 1.600.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en combia, pereira",5 Habs.,5 Baños,220 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/193165929
$ 2.800.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,4 Habs.,5 Baños,250 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193425863
$ 409.000.000,"Apartaestudio en Pereira, Risaralda","Apartaestudio en venta en cerritos, pereira",1 Hab,1 Baño,60 m²,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-cerritos-pereira/193616842
$ 720.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",3 Habs.,2 Baños,108 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/192262565
$ 465.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en maraya, pereira",3 Habs.,2 Baños,70 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-maraya-pereira/194091152
$ 285.000.000,"Casa en Pereira, Risaralda","Casa en venta en mirador de llano grande, pereira",4 Habs.,2 Baños,70 m²,https://www.fincaraiz.com.co/casa-en-venta-en-mirador-de-llano-grande-pereira/193307203
$ 850.000.000,"Finca en Pereira, Risaralda","Finca en venta en la florida, pereira",5 Habs.,4 Baños,156 m²,https://www.fincaraiz.com.co/finca-en-venta-en-la-florida-pereira/10520659
$ 3.500.000.000,"Local Comercial en Pereira, Risaralda","Local en venta en centro, pereira",1000 m²,,,https://www.fincaraiz.com.co/local-en-venta-en-centro-pereira/193581060
$ 1.500.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en combia baja, pereira",3 Habs.,4 Baños,2004 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-baja-pereira/193760107
$ 1.600.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en  venta en cerritos, pereira",3 Habs.,3 Baños,570 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/191490836
$ 350.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en centro, pereira",3 Habs.,2 Baños,115 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-centro-pereira/193304292
$ 3.900.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",20000 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/194205061
$ 677.340.000,"Local Comercial en Pereira, Risaralda",Local en venta en pereira,1 Baño,75 m²,,https://www.fincaraiz.com.co/local-en-venta-en-pereira/193841447
$ 285.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,2 Baños,57 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/193812695
$ 1.650.000.000,"Casa en Pereira, Risaralda","Casa en venta en combia, pereira",3 Habs.,4 Baños,450 m²,https://www.fincaraiz.com.co/casa-en-venta-en-combia-pereira/193829515
$ 210.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en el poblado ii etapa, pereira",2 Habs.,1 Baño,50 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-ii-etapa-pereira/193312242
$ 290.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,2 Baños,60 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193514988
$ 1.500.000.000,"Finca en Pereira, Risaralda",Finca en venta en pereira,6 Habs.,5 Baños,850 m²,https://www.fincaraiz.com.co/finca-en-venta-en-pereira/193698470
$ 350.000.000,"Lote en Pereira, Risaralda","Lote en venta en combia, pereira",2031 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-combia-pereira/193561315
$ 37.868.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",47 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/194211624
$ 1.600.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",3 Habs.,3 Baños,290 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193507491
$ 550.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",3 Habs.,2 Baños,70 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/193485316
$ 700.000.000,"Casa en Pereira, Risaralda","Casa en venta en corocito, pereira",6 Habs.,3 Baños,420 m²,https://www.fincaraiz.com.co/casa-en-venta-en-corocito-pereira/7666203
$ 700.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,2 Baños,101 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193904127
$ 350.000.000,"Consultorio en Pereira, Risaralda","Consultorio en venta en cerritos, pereira",1 Baño,40 m²,,https://www.fincaraiz.com.co/consultorio-en-venta-en-cerritos-pereira/193301216
$ 450.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en galicia, pereira",3 Habs.,2 Baños,70 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/193630874
$ 360.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en centro, pereira",3 Habs.,2 Baños,75 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-centro-pereira/192864514
$ 380.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en centenario, pereira",3 Habs.,2 Baños,88 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-centenario-pereira/193142806
$ 600.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,2 Baños,75 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/11028732
$ 1.100.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,0 Hab,10 Baños,1110 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/192320164
$ 380.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en san jose sur, pereira",3 Habs.,2 Baños,110 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-san-jose-sur-pereira/192940348
$ 520.000.000,"Casa en Pereira, Risaralda","Casa en venta en el acuario, pereira",3 Habs.,2 Baños,126 m²,https://www.fincaraiz.com.co/casa-en-venta-en-el-acuario-pereira/193796163
$ 1.300.000.000,"Casa en Pereira, Risaralda","Casa en venta en pinares, pereira",4 Habs.,5 Baños,240 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pinares-pereira/193480867
$ 497.000.000,"Casa en Pereira, Risaralda","Casa en venta en condina, pereira",4 Habs.,3 Baños,96 m²,https://www.fincaraiz.com.co/casa-en-venta-en-condina-pereira/193521839
$ 350.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,3 Baños,94 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193112818
$ 260.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en el plumon alto, pereira",2 Habs.,2 Baños,48 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-plumon-alto-pereira/193209001
$ 105.000.000,"Local Comercial en Pereira, Risaralda","Local en venta en avenida 30 de agosto, pereira",1 Baño,18 m²,,https://www.fincaraiz.com.co/local-en-venta-en-avenida-30-de-agosto-pereira/193581471
$ 1.800.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,4 Habs.,5 Baños,350 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/193879480
$ 415.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,3 Baños,71 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194186208
$ 2.200.000.000,"Casa en Pereira, Risaralda","Casa en  venta en cerritos, pereira",8 Habs.,8 Baños,1000 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/191516333
$ 580.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,4 Habs.,3 Baños,133 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/192648133
$ 400.000.000,"Casa en Pereira, Risaralda","Casa en venta en altagracia, pereira",3 Habs.,3 Baños,208 m²,https://www.fincaraiz.com.co/casa-en-venta-en-altagracia-pereira/193831766
$ 1.192.713.600,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",1 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193301339
$ 1.800.000.000,"Finca en Pereira, Risaralda",Finca en venta en pereira,4 Habs.,3 Baños,36736 m²,https://www.fincaraiz.com.co/finca-en-venta-en-pereira/193841405
$ 700.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,3 Baños,102 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194091398
$ 1.200.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares alto, pereira",3 Habs.,3 Baños,166 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-alto-pereira/193409742
$ 840.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,2 Baños,96 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193745675
$ 300.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,2 Baños,53 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/192813875
$ 750.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en la julia, pereira",3 Habs.,3 Baños,146 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-la-julia-pereira/191369374
$ 700.000.000,"Lote en Pereira, Risaralda","Lote en venta en mejia robledo, pereira",351 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-mejia-robledo-pereira/193301325
$ 310.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",2 Habs.,2 Baños,62 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/193130530
$ 1.500.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en combia baja, pereira",10 Habs.,7 Baños,1712 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-baja-pereira/193229006
$ 480.000.000,"Casa en Pereira, Risaralda","Casa en venta en san fernando, pereira",5 Habs.,2 Baños,230 m²,https://www.fincaraiz.com.co/casa-en-venta-en-san-fernando-pereira/193309275
$ 470.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en circunvalar - alamos, pereira",3 Habs.,2 Baños,77 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-circunvalar-alamos-pereira/193329912
$ 350.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cuba, pereira",3 Habs.,2 Baños,62 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cuba-pereira/194227619
$ 270.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,2 Baños,60 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/193634045
$ 1.100.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en combia, pereira",5 Habs.,4 Baños,350 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/193303000
$ 1.300.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en combia, pereira",4 Habs.,4 Baños,335 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/193820273
