precio_texto,tipo_y_ciudad,titulo,habitaciones_texto,banos_texto,area_texto,url_aviso
$ 400.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en 30 de agosto del cafe, pereira",3 Habs.,2 Baños,65 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-30-de-agosto-del-cafe-pereira/193826683
$ 240.000.000,"Lote en Pereira, Risaralda","Lote en venta en combia  alta, pereira",108 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-combia-alta-pereira/193358936
$ 550.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,2 Baños,83 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193308778
$ 1.650.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en tribunas corcega, pereira",3 Habs.,4 Baños,1500 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-tribunas-corcega-pereira/193393029
$ 2.200.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",5 Habs.,6 Baños,372 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/10200526
$ 490.000.000,"Apartamento en Pereira, Risaralda","Apartamento en  venta en pinares, pereira",3 Habs.,3 Baños,85 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/192081866
$ 390.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en belmonte a, pereira",2 Habs.,2 Baños,70 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-belmonte-a-pereira/192594553
$ 550.000.000,"Casa en Pereira, Risaralda","Casa en venta en tribunas corcega, pereira",3 Habs.,2 Baños,44 m²,https://www.fincaraiz.com.co/casa-en-venta-en-tribunas-corcega-pereira/193904645
$ 850.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,2 Baños,182 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193765046
$ 1.200.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en condina, pereira",4 Habs.,4 Baños,252 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-condina-pereira/192321767
$ 490.000.000,"Casa en Pereira, Risaralda","Casa en venta en villa verde, pereira",4 Habs.,2 Baños,80 m²,https://www.fincaraiz.com.co/casa-en-venta-en-villa-verde-pereira/193904178
$ 230.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en gamma, pereira",3 Habs.,1 Baño,72 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-gamma-pereira/192582772
$ 2.017.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,4 Baños,172 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193456629
$ 420.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",2 Habs.,2 Baños,68 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193742555
$ 600.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,3 Baños,102 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193303711
$ 770.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,3 Baños,103 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193313803
$ 690.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",3 Habs.,3 Baños,91 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/193309986
$ 200.000.000,"Casa en Pereira, Risaralda","Casa en venta en centro, pereira",4 Habs.,1 Baño,130 m²,https://www.fincaraiz.com.co/casa-en-venta-en-centro-pereira/193585820
$ 220.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,1 Baño,63 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/192648047
$ 590.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,2 Baños,90 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/192262574
$ 900.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en  venta en combia, pereira",3 Habs.,2 Baños,2511 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/192024046
$ 3.100.000.000,"Casa en Pereira, Risaralda","Casa en venta en san jose, pereira",3 Habs.,5 Baños,500 m²,https://www.fincaraiz.com.co/casa-en-venta-en-san-jose-pereira/193334591
$ 380.000.000,"Casa en Pereira, Risaralda","Casa en venta en barajas, pereira",3 Habs.,3 Baños,92 m²,https://www.fincaraiz.com.co/casa-en-venta-en-barajas-pereira/194246207
$ 340.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,2 Baños,61 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/192785504
$ 1.100.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,3 Baños,126 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193571746
$ 180.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en mirador de llano grande, pereira",3 Habs.,2 Baños,46 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-mirador-de-llano-grande-pereira/192427245
$ 350.000.000,"Casa en Pereira, Risaralda","Casa en venta en villa del prado, pereira",4 Habs.,2 Baños,97 m²,https://www.fincaraiz.com.co/casa-en-venta-en-villa-del-prado-pereira/193662409
$ 800.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,2 Baños,75 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194230911
$ 500.000.000,"Casa en Pereira, Risaralda","Casa en venta en providencia, pereira",3 Habs.,2 Baños,89 m²,https://www.fincaraiz.com.co/casa-en-venta-en-providencia-pereira/192672199
$ 1.800.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",321 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193314242
$ 3.600.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,5 Baños,360 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193413473
